id,team,player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
400277722,Boston Celtics,Kevin Garnett,32,4-8,0-0,1-1,1,11,12,2,0,2,5,4,-4,9
400277722,Boston Celtics,Brandon Bass,28,6-11,0-0,3-4,6,5,11,1,0,0,1,2,-8,15
400277722,Boston Celtics,Paul Pierce,41,6-15,2-4,9-9,0,5,5,5,2,0,0,3,-17,23
400277722,Boston Celtics,Rajon Rondo,44,9-14,0-2,2-4,0,7,7,13,0,0,4,4,-13,20
400277722,Boston Celtics,Courtney Lee,24,5-6,1-1,0-0,0,1,1,1,0,0,1,5,-7,11
400277722,Boston Celtics,Jared Sullinger,8,1-2,0-0,0-0,0,1,1,0,0,0,0,1,-3,2
400277722,Boston Celtics,Jeff Green,23,0-4,0-0,3-4,0,3,3,0,1,0,1,0,-7,3
400277722,Boston Celtics,Jason Terry,25,2-7,0-3,4-4,0,0,0,1,1,0,3,3,-10,8
400277722,Boston Celtics,Leandro Barbosa,16,6-8,3-3,1-2,0,1,1,1,0,0,0,1,+4,16
400277722,Boston Celtics,Chris Wilcox,,,,,,,,,,,,,,
400277722,Boston Celtics,Kris Joseph,,,,,,,,,,,,,,
400277722,Boston Celtics,Jason Collins,,,,,,,,,,,,,,
400277722,Boston Celtics,Darko Milicic,,,,,,,,,,,,,,
400277737,Milwaukee Bucks,Ersan Ilyasova,25,3-7,1-1,0-0,4,7,11,1,1,0,2,4,+10,7
400277737,Milwaukee Bucks,Tobias Harris,33,8-11,2-2,0-0,0,6,6,2,0,1,3,1,+9,18
400277737,Milwaukee Bucks,Samuel Dalembert,15,1-1,0-0,0-0,1,2,3,1,0,0,1,1,+6,2
400277737,Milwaukee Bucks,Brandon Jennings,29,9-17,1-3,2-3,0,2,2,13,6,0,2,2,+12,21
400277737,Milwaukee Bucks,Monta Ellis,37,6-20,2-6,0-0,1,2,3,4,0,0,2,1,+12,14
400277737,Milwaukee Bucks,Ekpe Udoh,23,3-5,0-0,4-4,2,1,3,1,2,2,1,1,+7,10
400277737,Milwaukee Bucks,Mike Dunleavy,23,2-5,1-1,2-2,1,5,6,2,2,0,2,0,+10,7
400277737,Milwaukee Bucks,Larry Sanders,22,5-7,0-0,0-0,2,5,7,0,0,2,1,5,0,10
400277737,Milwaukee Bucks,Beno Udrih,21,3-6,1-3,3-3,0,5,5,2,0,0,3,1,+2,10
400277737,Milwaukee Bucks,Doron Lamb,3,0-2,0-0,0-0,0,0,0,0,0,0,0,0,-9,0
400277737,Milwaukee Bucks,Marquis Daniels,10,0-5,0-2,0-0,0,0,0,0,1,0,1,1,-4,0
400277737,Milwaukee Bucks,Drew Gooden,,,,,,,,,,,,,,
400277737,Milwaukee Bucks,Joel Przybilla,,,,,,,,,,,,,,
400277747,Boston Celtics,Kevin Garnett,29,7-15,0-0,1-2,0,7,7,2,0,1,1,0,+10,15
400277747,Boston Celtics,Jared Sullinger,30,2-3,0-0,0-0,1,6,7,0,1,1,1,4,+7,4
400277747,Boston Celtics,Paul Pierce,35,10-22,4-8,3-4,1,6,7,3,0,0,2,2,+15,27
400277747,Boston Celtics,Rajon Rondo,40,5-10,2-2,0-0,2,3,5,12,2,0,2,1,+15,12
400277747,Boston Celtics,Courtney Lee,29,2-7,0-4,0-0,0,2,2,1,1,0,0,0,+10,4
400277747,Boston Celtics,Chris Wilcox,8,0-0,0-0,0-0,0,0,0,0,0,0,0,2,-5,0
400277747,Boston Celtics,Brandon Bass,28,2-6,0-0,1-1,2,3,5,2,1,2,0,2,-8,5
400277747,Boston Celtics,Jeff Green,16,5-10,1-2,0-2,0,2,2,0,1,0,1,1,-5,11
400277747,Boston Celtics,Jason Terry,17,2-8,0-2,4-4,0,0,0,3,2,0,1,0,-12,8
400277747,Boston Celtics,Leandro Barbosa,8,1-3,1-3,0-0,0,0,0,1,0,0,1,0,-12,3
400277747,Boston Celtics,Kris Joseph,,,,,,,,,,,,,,
400277747,Boston Celtics,Jason Collins,,,,,,,,,,,,,,
400277747,Boston Celtics,Darko Milicic,,,,,,,,,,,,,,
400277774,Washington Wizards,Trevor Booker,20,3-7,0-0,0-0,1,3,4,1,0,0,0,1,-4,6
400277774,Washington Wizards,Trevor Ariza,19,1-6,0-1,0-0,1,2,3,2,2,0,0,2,-8,2
400277774,Washington Wizards,Emeka Okafor,11,1-2,0-0,0-0,0,1,1,0,1,2,0,0,-4,2
400277774,Washington Wizards,A.J. Price,37,6-13,3-8,0-0,0,5,5,7,1,0,6,3,+6,15
400277774,Washington Wizards,Bradley Beal,38,6-15,3-8,1-1,0,4,4,3,1,1,2,4,+6,16
400277774,Washington Wizards,Jan Vesely,13,1-3,0-0,0-0,1,4,5,1,0,0,2,3,-8,2
400277774,Washington Wizards,Chris Singleton,25,6-10,0-1,2-3,2,3,5,2,3,0,0,3,+11,14
400277774,Washington Wizards,Martell Webster,35,5-9,3-6,3-3,0,6,6,1,0,1,1,4,+2,16
400277774,Washington Wizards,Kevin Seraphin,36,8-19,0-0,0-0,4,5,9,3,0,1,6,5,-7,16
400277774,Washington Wizards,Jannero Pargo,16,1-5,1-3,0-0,0,0,0,3,0,1,1,2,-12,3
400277774,Washington Wizards,Jordan Crawford,15,1-6,0-2,0-0,1,1,2,2,0,0,1,0,-12,2
400277774,Washington Wizards,Earl Barron,,,,,,,,,,,,,,
400277774,Washington Wizards,Cartier Martin,,,,,,,,,,,,,,
400277790,Philadelphia 76ers,Lavoy Allen,23,3-5,0-0,0-0,1,3,4,1,0,1,0,5,-5,6
400277790,Philadelphia 76ers,Dorell Wright,36,4-9,2-3,5-5,1,3,4,3,4,0,2,1,+9,15
400277790,Philadelphia 76ers,Thaddeus Young,41,7-13,0-0,1-1,0,5,5,2,2,3,0,3,+13,15
400277790,Philadelphia 76ers,Jrue Holiday,42,7-16,1-4,6-6,2,2,4,14,2,2,7,1,+14,21
400277790,Philadelphia 76ers,Evan Turner,41,9-19,2-2,5-7,0,11,11,4,1,1,3,3,+1,25
400277790,Philadelphia 76ers,Arnett Moultrie,6,0-0,0-0,0-0,1,1,2,0,1,0,1,1,-9,0
400277790,Philadelphia 76ers,Spencer Hawes,22,4-7,0-0,0-0,2,4,6,1,0,0,1,5,+14,8
400277790,Philadelphia 76ers,Nick Young,18,4-9,2-3,0-0,0,1,1,1,1,0,2,3,+1,10
400277790,Philadelphia 76ers,Royal Ivey,12,2-4,0-1,2-4,1,0,1,1,1,0,0,0,-8,6
